class,alternative_term,comment,definition,editor_note,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_related_synonym,hasSynonym,in_subset,label,superclasses
ENVO_00000446,,,A biome which is  primarily or completely situated on a landmass.,,,,,terrestrial realm,,,terrestrial biome,"ENVO_00000428, ENVO_01001790"
ENVO_00002030,,,A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water.,,,,,,,,aquatic biome,"ENVO_00000428, ENVO_01001787"
ENVO_01000179,,,A desert ecosystem which is undergoing climactic ecological succession.,,,,,,,wwfBiome,desert biome,"ENVO_00000428, ENVO_01001780"
ENVO_01001831,,,A biome which is subject to temperate climatic conditions.,,,,,,,,temperate biome,"ENVO_00000428, ENVO_01001705"
ENVO_01001830,,,A biome which is subject to tropical climatic conditions.,,,,,,,,tropical biome,"ENVO_00000428, ENVO_01001701"
ENVO_01001832,,,A biome which is subject to subtropical climatic conditions.,,,,,,,,subtropical biome,"ENVO_00000428, ENVO_01001702"
ENVO_01001836,,,A biome which is subject to montane altitudinal conditions.,,,,,,,,montane biome,ENVO_00000428
ENVO_01000339,,"This class is primarily for inference and, in general, should not be used directly by annotators. If you're an annotator, please consider using a more informative term such as 'tundra biome'.",A biome which is subject to polar climatic conditions.,,,,,,,envoPolar,polar biome,"ENVO_00000428, ENVO_01001703"
ENVO_01000246,,"Villages are also described as agricultural settlements with greater than 100 persons per square kilometre; however, no upper limit is defined.","A village biome is an anthropogenic terrestrial biome which contains settlements such as villages, towns, and/or small cities and which is primarily used for agricultural activity.",,,,,,,,village biome,"ENVO_00000428, ENVO_01000773"
ENVO_01000248,,,"A dense settlement biome is an anthropogenic terrestrial biome which is primarily used for human habitation, recreation, and industry within built structures with little other land use.",,,,,,,,dense settlement biome,"ENVO_00000428, ENVO_01000658"
ENVO_01001834,,,A biome which is subject to subpolar climatic conditions.,,,,,,,,subpolar biome,"ENVO_00000428, ENVO_01001704"
ENVO_01001835,,,A biome which is subject to alpine altitudinal conditions.,,,,,,,,alpine biome,ENVO_00000428
ENVO_01001837,,,A biome which is subject to subapline altitudinal conditions.,,,,,,,,subalpine biome,ENVO_00000428
ENVO_01001838,,,A biome which is subject to arid environmental conditions.,,,,,,,,arid biome,ENVO_00000428
ENVO_01000180,,,A tundra ecosystem which is undergoing climactic ecological succession.,,,,,,,envoPolar,tundra biome,"ENVO_01001370, ENVO_00000446"
ENVO_01000180,,,A tundra ecosystem which is undergoing climactic ecological succession.,,,,,,,wwfBiome,tundra biome,"ENVO_01001370, ENVO_00000446"
ENVO_01000174,,,A forest ecosystem which is undergoing climactic ecological succession.,,,,,,,,forest biome,"ENVO_01001243, ENVO_00000446"
ENVO_01000175,,Preliminary definition.,"A woodland biome is a terrestrial biome which includes, across its entire spatial extent, woody plants spaced sufficiently far apart to allow light penetration to support communities of herbaceous plants or shrubs living closer to the woodland floor.",,,,,,,,woodland biome,ENVO_00000446
ENVO_01000176,,Preliminary definition.,"A shrubland biome is a terrestrial biome which includes, across its entire spatial extent, dense groups of shrubs.",,,,,,,,shrubland biome,ENVO_00000446
ENVO_01000177,,,A grassland ecosystem in which dominant ecological communities have reached their climax successional state.,,,,,,,,grassland biome,"ENVO_01001206, ENVO_00000446"
ENVO_01000181,,"Preliminary definition. Depending on whether mangrove trees or shrubs are present, this class could be a child of shrubland biome or woodland biome. Consider creating the appropriate classes.","A mangrove biome is a terrestrial biome which includes, across its spatial extent, mangrove plants (Rhizophoraceae). Mangrove plants are able to withstand high levels of salinity as well as regions of anoxia and frequent tidal inundation. Mangrove biomes often occur near tropical and sub-tropical estuaries and depositional marine coastal environments where fine sediments (often with high organic content) collect in areas protected from high energy wave action.",,,,,,,wwfBiome,mangrove biome,ENVO_00000446
ENVO_01000219,,Preliminary definition.,An anthropogenic terrestrial biome is a terrestrial biome which has community structures determined by human activity.,,,anthrome,,,,,anthropogenic terrestrial biome,"ENVO_01001828, ENVO_00000446"
ENVO_01000219,,Preliminary definition.,An anthropogenic terrestrial biome is a terrestrial biome which has community structures determined by human activity.,,,human biome,,,,,anthropogenic terrestrial biome,"ENVO_01001828, ENVO_00000446"
ENVO_00000447,,"This biome includes open-ocean and unprotected coastal ecosystems, characterized by exposure to wave action, tidal fluctuation, and ocean currents as well as systems that largely resemble these. Water in the marine biome is generally within the salinity range of seawater: 30 to 38 ppt.",An aquatic biome which is determined by a marine water body.,,,,,marine realm,,envoPolar,marine biome,"ENVO_00002030, ENVO_01001788"
ENVO_00000873,,,An aquatic biome which is determined by a body of freshwater.,,,,,freshwater realm,,envoPolar,freshwater biome,"ENVO_00002030, ENVO_01001789"
ENVO_01000182,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A temperate desert biome is a desert biome which has communities adapted to intermediate insolation, low rainfall, and large temperature variations between winter and summer. Winter temperatures may fall below 0 degrees Celsius. Some precipitation in this biome may fall as snow.",,,,,,,,temperate desert biome,"ENVO_01000179, ENVO_01001831"
ENVO_01000183,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A tropical desert biome is a desert biome which has communities adapted to temperatures above a monthly average of 18 degrees Celsius, high daily temperature ranges of approximately 20 degrees Celsius, very high insolation due to inhibited cloud formation, and very low precipitation. Tropical desert biomes located near coasts with cold upwellings may have cooler temperatures and reduced insolution due to fog.",,,,,,,,tropical desert biome,"ENVO_01000179, ENVO_01001830"
ENVO_01000184,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A subtropical desert biome is a desert biome which has communities adapted to temperatures above a monthly average of 18 degrees Celsius, high daily temperature ranges of approximately 20 degrees Celsius, high insolation (but lower than that of a tropical desert biome), inhibited cloud formation, and very low precipitation. Subtropical desert biomes located near coasts with cold upwellings may have cooler temperatures and reduced insolution due to fog.",,,,,,,,subtropical desert biome,"ENVO_01000179, ENVO_01001832"
ENVO_01000185,,Preliminary definition.,A montane desert biome is a desert biome which occurs in regions elevated above sea level and which has community structure determined by elevation-dependent environmental conditions.,,,,,,,,montane desert biome,"ENVO_01000179, ENVO_01001836"
ENVO_01000186,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.","A polar desert biome is a desert biome which is subject to low levels of insolation, annual precipitation less than 250 millimeters, and a mean temperature less than 10 degrees Celsius during its warmest month. Temperature changes in polar deserts frequently cross the freezing point of water.",,,,,,,envoPolar,polar desert biome,"ENVO_01000179, ENVO_01000339"
ENVO_01000189,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A savanna biome which is subject to temperate climate patterns.,,prairie biome,,,,,,temperate savanna biome,"ENVO_01000178, ENVO_01001831"
ENVO_01000193,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",,,prairie biome,,,,,,temperate grassland biome,"ENVO_01000177, ENVO_01001831, ENVO_01001811"
ENVO_01000202,,,A broadleaf forest which is subject to temperate climate patterns.,,,,,,,wwfBiome,temperate broadleaf forest biome,"ENVO_01001831, ENVO_01000197, ENVO_01001794"
ENVO_01000211,,"Preliminary definition. The semantics and definitions of ""mediterranean"", ""subtropical"", ""tropical"", ""temperate"", ""polar"", and similar climate types may be transferred to an ""environmental condition"" class once the semantics of this class have been established.",A coniferous forest biome which is subject to temperate climate patterns.,,,,,,,wwfBiome,temperate coniferous forest biome,"ENVO_01001831, ENVO_01000196, ENVO_01001805"
ENVO_01000212,,,A temperate mixed forest in which dominant ecological communities have reached their climax successional state.,,,,,,,wwfBiome,temperate mixed forest biome,"ENVO_01001831, ENVO_01000198, ENVO_01001796"
