ENVO_ID	ENVO_LABEL	MIxS_LABEL	SPECIFICITY_CONFIDENCE	JUSTIFICATION
ENVO_00000428	biome	FoodHumanFoods	1	The biome class is very broad and not specific to human foods.
ENVO_00000428	biome	HydrocarbonResourcesCores	1	The biome class is very broad and not specific to hydrocarbon resources cores.
ENVO_00000428	biome	HydrocarbonResourcesFluidsSwabs	1	The biome class is very broad and not specific to hydrocarbon resources fluids and swabs.
ENVO_00000428	biome	MicrobialMatBiofilm	1	The biome class is very broad and not specific to microbial mats or biofilms.
ENVO_00000428	biome	MiscellaneousNaturalOrArtificialEnvironment	1	The biome class is assigned to other, more specific MIxS environmental extensions.
ENVO_00000428	biome	Sediment	1	The biome class is very broad and not specific to sediments.
ENVO_00000428	biome	SymbiontAssociated	1	The biome class is very broad and not specific to symbiont-associated environments.
ENVO_00000446	terrestrial biome	Air	3	Many terrestrial biomes have a direct association with air, but it is not exclusive.
ENVO_00000446	terrestrial biome	HydrocarbonResourcesCores	3	Hydrocarbon resources are often extracted from terrestrial environments, but not all terrestrial biomes are relevant.
ENVO_00000446	terrestrial biome	HydrocarbonResourcesFluidsSwabs	3	Hydrocarbon resources fluids and swabs can come from terrestrial environments, but not all terrestrial biomes are relevant.
ENVO_00000446	terrestrial biome	MicrobialMatBiofilm	3	Microbial mats and biofilms can form in some terrestrial biomes, but it is not a defining characteristic.
ENVO_00000446	terrestrial biome	MiscellaneousNaturalOrArtificialEnvironment	1	The terrestrial biome class is assigned to other, more specific MIxS environmental extensions.
ENVO_00000446	terrestrial biome	Sediment	3	Some terrestrial biomes may have associated sediments, but it is not a defining characteristic.
ENVO_00000446	terrestrial biome	Soil	5	Soil is a key component of terrestrial biomes.
ENVO_00000446	terrestrial biome	SymbiontAssociated	3	Terrestrial biomes can host symbiotic relationships, but it is not a defining characteristic.
ENVO_00000447	marine biome	HydrocarbonResourcesCores	3	Some marine biomes are sources of hydrocarbon resources, but it is not a defining characteristic.
ENVO_00000447	marine biome	MicrobialMatBiofilm	3	Microbial mats and biofilms can form in some marine biomes, but it is not a defining characteristic.
ENVO_00000447	marine biome	MiscellaneousNaturalOrArtificialEnvironment	1	The marine biome class is assigned to other, more specific MIxS environmental extensions.
ENVO_00000447	marine biome	Sediment	5	Sediment is a common component of marine biomes, especially in benthic zones.
ENVO_00000447	marine biome	SymbiontAssociated	3	Marine biomes can host symbiotic relationships, such as coral reefs, but it is not a defining characteristic of all.
ENVO_00000447	marine biome	Water	5	Water is the defining substance of marine biomes.
ENVO_00000873	freshwater biome	HydrocarbonResourcesCores	1	Freshwater biomes are not a major source of hydrocarbon resources.
ENVO_00000873	freshwater biome	MicrobialMatBiofilm	3	Microbial mats and biofilms can form in some freshwater biomes, but it is not a defining characteristic.
ENVO_00000873	freshwater biome	MiscellaneousNaturalOrArtificialEnvironment	1	The freshwater biome class is assigned to other, more specific MIxS environmental extensions.
ENVO_00000873	freshwater biome	Sediment	5	Sediment is a common component of freshwater biomes, especially in benthic zones.
ENVO_00000873	freshwater biome	SymbiontAssociated	3	Freshwater biomes can host symbiotic relationships, but it is not a defining characteristic of all.
ENVO_00000873	freshwater biome	Water	5	Water is the defining substance of freshwater biomes.
ENVO_00000887	large river biome	MiscellaneousNaturalOrArtificialEnvironment	1	The large river biome class is assigned to another, more specific MIxS environmental extension.
ENVO_00000887	large river biome	Water	5	Water is the defining substance of river biomes.
ENVO_00000888	large river headwater biome	MiscellaneousNaturalOrArtificialEnvironment	1	The large river headwater biome class is assigned to another, more specific MIxS environmental extension.
ENVO_00000888	large river headwater biome	Water	5	Water is the defining substance of river headwater biomes.
ENVO_00000889	large river delta biome	MiscellaneousNaturalOrArtificialEnvironment	1	The large river delta biome class is assigned to another, more specific MIxS environmental extension.
ENVO_00000889	large river delta biome	Water	5	Water is the defining substance of river delta biomes.
ENVO_00000890	small river biome	MiscellaneousNaturalOrArtificialEnvironment	1	The small river biome class is assigned to another, more specific MIxS environmental extension.
ENVO_00000890	small river biome	Water	5	Water is the defining substance of river biomes.
ENVO_00000891	large freshwater lake biome	MiscellaneousNaturalOrArtificialEnvironment	1	The large freshwater lake biome class is assigned to another, more specific MIxS environmental extension.
ENVO_00000891	large freshwater lake biome	Water	5	Water is the defining substance of freshwater lake biomes.
ENVO_00000892	small freshwater lake biome	MiscellaneousNaturalOrArtificialEnvironment	1	The small freshwater lake biome class is assigned to another, more specific MIxS environmental extension.
ENVO_00000892	small freshwater lake biome	Water	5	Water is the defining substance of freshwater lake biomes.
ENVO_00002030	aquatic biome	HydrocarbonResourcesCores	3	Some aquatic biomes, such as marine, can be sources of hydrocarbon resources, but it is not a defining characteristic of all.
ENVO_00002030	aquatic biome	HydrocarbonResourcesFluidsSwabs	3	Hydrocarbon resources fluids and swabs can come from some aquatic biomes, but it is not a defining characteristic of all.
ENVO_01000048	ocean biome	HydrocarbonResourcesFluidsSwabs	3	Ocean biomes can be sources of hydrocarbon resources fluids and swabs, but it is not a defining characteristic.
ENVO_01000048	ocean biome	Sediment	5	Sediment is a common component of ocean biomes, especially in benthic zones.
ENVO_01000048	ocean biome	Water	5	Water is the defining substance of ocean biomes.
ENVO_01000174	forest biome	Air	3	Forests interact significantly with air, but air is not exclusive to forests.
ENVO_01000174	forest biome	FoodFarmEnvironment	3	Some forests may be part of farm environments, but it is not a defining characteristic of all forests.
ENVO_01000174	forest biome	FoodHumanFoods	3	Some human foods can come from forests, but forests are not exclusively sources of human food.
ENVO_01000174	forest biome	HostAssociated	3	Forests can host many symbiotic relationships, but it is not a defining characteristic of all forests.
ENVO_01000174	forest biome	HumanGut	1	The human gut is not directly related to forest environments.
ENVO_01000174	forest biome	HumanOral	1	The human oral cavity is not directly related to forest environments.
ENVO_01000174	forest biome	HydrocarbonResourcesCores	3	Some forests may overlay hydrocarbon resources, but it is not a defining characteristic of all forests.
