	IAO_0000115	hasExactSynonym	comment	label	IAO_0000116	hasBroadSynonym	hasNarrowSynonym	hasRelatedSynonym
ENVO_00010483	['A material entity which other material entities in an environmental system are primarily or partially composed of.']	['portion of environmental material']	"['Everything under this parent must be a mass noun (i.e. not countable). All subclasses are to be understood as being composed primarily of the named entity, rather than restricted to that entity. For example, ""ENVO:water"" is to be understood as ""environmental material composed primarly of some CHEBI:water"".', 'Instances of this class are portions of environmental materials, such as seawater in bucket, a water parcel in the photic zone of a lake, or the concrete that composes a building part. Instances of these portions may have fiat or non-fiat boundaries. For example, a water parcel has not physical boundaries, while the seawater in a bucket is bounded by the internal surfaces of the bucket.']"	['environmental material']				
ENVO_0010001	['Anthropogenic material in or on which organisms may live.']			['anthropogenic environmental material']				
ENVO_01000406	['Snow is an environmental material which is primarily composed of flakes of crystalline water ice.']			['snow']				
ENVO_00000134	['An environmental material which is 1) composed primarily of soil or rock and included ice or organic material and 2) at or below the freezing point of water for two or more years.']		['Ice is not always present, as may be in the case of nonporous bedrock, but it frequently occurs and it may be in amounts exceeding the potential hydraulic saturation of the ground material.']	['permafrost']				
ENVO_00001998	['An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.']		"['\'In engineering terms, soil is referred to as regolith, or loose rock material that lies above the \'solid geology\'. Soil is commonly referred to as ""earth"" or ""dirt""; technically, the term ""dirt"" should be restricted to displaced soil.\' https://en.wikipedia.org/wiki/Soil\n\n"" The upper limit of soil is the boundary between soil and air, shallow water, live plants, or plant materials that have not begun to decompose. Areas are not considered to have soil if the surface is permanently covered by water too deep (typically more than 2.5 meters) for the growth of rooted plants.\n\nThe lower boundary that separates soil from the nonsoil underneath is most difficult to define. Soil consists of horizons near the Earth\'s surface that, in contrast to the underlying parent material, have been altered by the interactions of climate, relief, and living organisms over time. Commonly, soil grades at its lower boundary to hard rock or to earthy materials virtually devoid of animals, roots, or other marks of biological activity. For purposes of classification, the lower boundary of soil is arbitrarily set at 200 cm.""  Soil taxonomy, 2nd Ed., quoted in http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/edu/?cid=nrcs142p2_054280']"	['soil']	"[""The various 'has part' and 'has quality' relations may not hold true for all soils; however, I have yet to find counter examples. Require input from a pedologist or similar. [pbuttigieg]""]"	['regolith']		
ENVO_01000814	['An environmental material which is in a solid state.']		['This is a defined class: its subclasses will not be asserted, but filled by inference.']	['solid environmental material']				
ENVO_01000001	['An environmental material which is a liquid or semi-liquid mixture of water and some combination of soil, silt, and clay particles.']			['mud']				
ENVO_01000155	['Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.']	['biomass']		['organic material']				
ENVO_00002264	['A material which is not the desired output of a process and which is typically the input of a process which removes it from its producer (e.g. a disposal process).']			['waste material']	"['This seems more like a role than a material. Anything can be waste. Thus, a ""waste"" role or disposition will be created and this class can then be populated by inference: any environmental material which has [role,disposition] waste will be considered a waste material.']"			
ENVO_01000060	['An environmental material which is composed primarily of particles.']			['particulate environmental material']	['Do not oversimplify this branch with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.']	['particulate matter']		
ENVO_03501300	['An environmental material consisting of organic matter from plants and/or animals that is used in agriculture as fertilizer.']		['Most manure consists of animal feces; other sources include compost and green manure.']	['manure']			['animal manure', 'compost', 'farm slurry', 'green manure', 'liquid manure']	
ENVO_00002191	"[""Straw or other material strewn in an animal's enclosure (e.g. a stable) for it to sleep on and to absorb its faeces and urine.""]"			['animal litter']				
ENVO_00003930	['A layer of impurities that accumulates at the surface of a liquid (especially water or molten metal).']			['scum']				
ENVO_00005738	['An environmental material which has the quality of a foam.']			['foamy environmental material']				
ENVO_00010505	['Airborne solid particles (also called dust or particulate matter (PM)) or liquid droplets.']		"['Should connect to PATO as ""quality of an aerosol""']"	['aerosol']				
ENVO_00010506	['A mixture of two immiscible (unblendable) substances. One substance (the dispersed phase) is dispersed in the other (the continuous phase).']			['emulsion']				
ENVO_02000140	['An environmental material which is unable to resist shear forces and continuously deforms when subject to them.']			['fluid environmental material']			['fluid']	
ENVO_01000637	['Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.']			['outer space']		['space']		
