?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_00005757>	"bacteria enriched soil"	"A portion of bacteria enriched soil is a portion of soil with elevated bacterial abundance."
<http://purl.obolibrary.org/obo/ENVO_01001616>	"bare soil"	"Soil which is directly exposed to the atmosphere - with no intervening layer of plant life or other cover - and thus the effects of weathering and erosion."
<http://purl.obolibrary.org/obo/ENVO_00005770>	"beech forest soil"	"Soil which is part of a forest whose communites of arborescent plants are dominated the genus Fagus."
<http://purl.obolibrary.org/obo/ENVO_00005789>	"bluegrass field soil"	"Bluegrass field soil is a soil which is found in a field of Kentucky Bluegrass (Poa pratensis)."
<http://purl.obolibrary.org/obo/ENVO_00005802>	"bulk soil"	"Soil that is not penetrated by the root systems of plants."
<http://purl.obolibrary.org/obo/ENVO_00005760>	"burned soil"	"Soil which has been transformed through a combustion process."
<http://purl.obolibrary.org/obo/ENVO_00002239>	"calcisol"	"Calcisols are soils in which there is substantial secondary accumulation of lime. Calcisols are common in highly calcareous parent materials and widespread in arid and semi-arid environments."
<http://purl.obolibrary.org/obo/ENVO_00002235>	"cambisol"	"Cambisols combine soils with at least an incipient subsurface soil formation. Transformation of parent material is evident from structure formation and mostly brownish discoloration, increasing clay percentage, and/or carbonate removal."
<http://purl.obolibrary.org/obo/ENVO_01000427>	"carbon nanotube enriched soil"	"A portion of carbon nanotube enriched soil is a portion of soil with elevated levels of carbon nanotubes."
<http://purl.obolibrary.org/obo/ENVO_00003914>	"chalk soil"	"Soil which has increased levels of chalk."
<http://purl.obolibrary.org/obo/ENVO_00002237>	"chernozem"	"Chernozems are soils with a thick black surface layer that is rich in organic matter."
<http://purl.obolibrary.org/obo/ENVO_00005762>	"chloropicrin enriched soil"	"A portion of chloropicrin enriched soil is a portion of soil with elevated levels of chloropicrin."
<http://purl.obolibrary.org/obo/ENVO_00002145>	"chromate contaminated soil"	"Soil which has elevated concentrations of chromate."
<http://purl.obolibrary.org/obo/ENVO_06105277>	"clay loam"	"Loam which has a high proportion of clay in its composition."
<http://purl.obolibrary.org/obo/ENVO_00002262>	"clay soil"	"Soil which is primarily composed of clay."
<http://purl.obolibrary.org/obo/ENVO_06105205>	"compacted soil"	"A soil which has a high bulk density and/or a low porosity. A compacted soil has a reduced rate of both water infiltration and drainage"
<http://purl.obolibrary.org/obo/ENVO_00005747>	"compost soil"	"Soil which is derived from compost."
<http://purl.obolibrary.org/obo/ENVO_00002116>	"contaminated soil"	"A portion of contaminated soil is a portion of soil with elevated levels of some contaminant."
<http://purl.obolibrary.org/obo/ENVO_00002117>	"creosote contaminated soil"	"Soil which has elevated concentrations of creosote."
<http://purl.obolibrary.org/obo/ENVO_00002236>	"cryosol"	"Cryosols comprise mineral soils formed in a permafrost environment. Where water is present, it occurs primarily in the form of ice. Cryogenic processes are the dominant soil-forming processes."
<http://purl.obolibrary.org/obo/ENVO_00005748>	"dry soil"	"Soil which has little to no water content and in which minerals and other soluble chemical entities have either bonded or become adsorbed to sold particles due to insufficient water availability."
<http://purl.obolibrary.org/obo/ENVO_00002260>	"dune soil"	"Soil which is part of some dune."
<http://purl.obolibrary.org/obo/ENVO_00002238>	"durisol"	"Durisols are associated mainly with old surfaces in arid and semi-arid environments and accommodate very shallow to moderately deep, moderately well- to well-drained soils that contain cemented secondary silica (SiO2) within 100 cm of the soil surface."
<http://purl.obolibrary.org/obo/ENVO_00003082>	"enriched soil"	"A portion of enriched soil is a portion of soil with elevated levels of some material entity."
<http://purl.obolibrary.org/obo/ENVO_00003086>	"ethanol enriched soil"	"A portion of ethanol enriched soil is a portion of soil with elevated levels of ethanol."
<http://purl.obolibrary.org/obo/ENVO_00005787>	"eucalyptus forest soil"	"Soil which is part of a forest whose communites of arborescent plants are dominated the genus Eucalyptus."
<http://purl.obolibrary.org/obo/ENVO_00005749>	"farm soil"	"A portion of soil which is part of a cropland or a rangeland biome."
<http://purl.obolibrary.org/obo/ENVO_00002246>	"ferralsol"	"Ferralsols represent the classical, deeply weathered, red or yellow soils of the humid tropics. These soils have diffuse horizon boundaries, a clay assemblage dominated by low-activity clays (mainly kaolinite) and a high content of sesquioxides."
<http://purl.obolibrary.org/obo/ENVO_00005754>	"fertilized soil"	"Soil which has been amended with fertilizers."
<http://purl.obolibrary.org/obo/ENVO_00005755>	"field soil"	"Soil which is part of an agricultural field."
<http://purl.obolibrary.org/obo/ENVO_00002273>	"fluvisol"	"Fluvisols accommodate genetically young, azonal soils in alluvial deposits."
<http://purl.obolibrary.org/obo/ENVO_00002261>	"forest soil"	"A portion of soil which is found in a forested area."
<http://purl.obolibrary.org/obo/ENVO_01001528>	"friable-frozen soil"	"Frozen soil which has very low total water content and is not cemented by ice; its compressibility is the same as that of unfrozen soils having the same composition, total water content and density."
<http://purl.obolibrary.org/obo/ENVO_01001638>	"frost-susceptible soil"	"Soil in which segregated ice will form (causing frost heave) under the required conditions of moisture supply and temperature."
<http://purl.obolibrary.org/obo/ENVO_00005765>	"frozen compost soil"	"Compost soil which is frozen."
<http://purl.obolibrary.org/obo/ENVO_01001526>	"frozen soil"	"Soil which is below the freezing point of water."
<http://purl.obolibrary.org/obo/ENVO_00002263>	"garden soil"	"A portion of soil which is found in a garden."
<http://purl.obolibrary.org/obo/ENVO_00002244>	"gleysol"	"Gleysols are wetland soils that, unless drained, are saturated with groundwater for long enough periods to develop a characteristic gleyic colour pattern. This pattern is essentially made up of reddish, brownish or yellowish colours at ped surfaces and/or in the upper soil layer or layers, in combination with greyish/bluish colours inside the peds and/or deeper in the soil."
<http://purl.obolibrary.org/obo/ENVO_00005750>	"grassland soil"	"A portion of soil which is found in a grassland."
<http://purl.obolibrary.org/obo/ENVO_00005780>	"greenhouse soil"	"A portion of soil which is found in a greenhouse."
<http://purl.obolibrary.org/obo/ENVO_00002245>	"gypsisol"	"Gypsisols are soils with substantial secondary accumulation of gypsum (calcium sulfate). These soils are found in the driest parts of the arid climate zone."
<http://purl.obolibrary.org/obo/ENVO_01001525>	"hard-frozen soil"	"Frozen soil which is firmly cemented by water ice, is subject to brittle failure, and exhibits practically no consolidation under load."
<http://purl.obolibrary.org/obo/ENVO_00005781>	"heat stressed soil"	"Soil which is has been heated such that its chemical, physical, or biological properties are destabilised."
<http://purl.obolibrary.org/obo/ENVO_00002243>	"histosol"	"Histosols comprise soils formed in organic material. These vary from soils developed in predominantly moss peat in boreal, arctic and subarctic regions, via moss peat, reeds/ sedge peat (fen) and forest peat in temperate regions to mangrove peat and swamp forest peat in the humid tropics. Histosols are found at all altitudes, but the vast majority occurs in lowlands."
<http://purl.obolibrary.org/obo/ENVO_00005763>	"humus-rich acidic ash soil"	"Soil which 1) has increased levels of humus, 2) has low pH levels, 3) has increased levels of mineral ash."
<http://purl.obolibrary.org/obo/ENVO_00005751>	"jungle soil"	"Soil which is part of a densely forested area subject to tropical climate patterns."
<http://purl.obolibrary.org/obo/ENVO_00002240>	"kastanozem"	"Kastanozems are dry grassland soils, among them the zonal soils of the short-grass steppe belt, south of the Eurasian tall-grass steppe belt with Chernozems. Kastanozems have a similar profile to that of Chernozems but the humus-rich surface horizon is thinner and not as dark as that of the Chernozems and they show more prominent accumulation of secondary carbonates."
<http://purl.obolibrary.org/obo/ENVO_00003090>	"kynurenate enriched soil"	"A portion of kynurenate enriched soil is a portion of soil with elevated levels of kynurenate."
<http://purl.obolibrary.org/obo/ENVO_00005756>	"lawn soil"	"Soil which is formulated to promote the growth of grasses or other plants used to establish managed areas of vegetation."
<http://purl.obolibrary.org/obo/ENVO_00005783>	"leafy wood soil"	"Soil which is part of a woodland dominated by leafy trees."
<http://purl.obolibrary.org/obo/ENVO_00002241>	"leptosol"	"Leptosols are very shallow soils over continuous rock and soils that are extremely gravelly and/or stony. Leptosols are azonal soils and particularly common in mountainous regions."
<http://purl.obolibrary.org/obo/ENVO_00005766>	"limed soil"	"Soil which has been amended with mineral additives to increase its pH."
<http://purl.obolibrary.org/obo/ENVO_00002242>	"lixisol"	"Lixisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Lixisols have a high base saturation and low-activity clays at certain depths."
<http://purl.obolibrary.org/obo/ENVO_00002258>	"loam"	"A soil which is composed of approximately equal proportions of sand and silt, with a smaller proportion of clay."
<http://purl.obolibrary.org/obo/ENVO_00002248>	"luvisol"	"Luvisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Luvisols have high-activity clays throughout the argic horizon and a high base saturation at certain depths."
<http://purl.obolibrary.org/obo/ENVO_02000138>	"mangrove biome soil"	"Soil which is located in a mangrove biome."
<http://purl.obolibrary.org/obo/ENVO_00005767>	"manured soil"	"Soil which has, as a part, a portion of either fresh or processed animal manure."
<http://purl.obolibrary.org/obo/ENVO_00005761>	"meadow soil"	"Soil which is part of a meadow."
<http://purl.obolibrary.org/obo/ENVO_00003081>	"metal contaminated soil"	"Soil which has elevated concentrations of metals."
<http://purl.obolibrary.org/obo/ENVO_00005769>	"mountain forest soil"	"Soil which is part of a forest growing on a mountain."
<http://purl.obolibrary.org/obo/ENVO_00005771>	"muddy soil"	"Soil which is composed of a large proportion of mud, thus having properties resembling mud."
<http://purl.obolibrary.org/obo/ENVO_00002247>	"nitisol"	"Nitisols are deep, well-drained, red, tropical soils with diffuse horizon boundaries and a subsurface horizon with more than 30 percent clay and moderate to strong angular blocky structure elements that easily fall apart into characteristic shiny, polyhedric (nutty) elements. Weathering is relatively advanced but Nitisols are far more productive than most other red, tropical soils."
<http://purl.obolibrary.org/obo/ENVO_00002875>	"oil contaminated soil"	"Soil which has elevated concentrations of oil."
<http://purl.obolibrary.org/obo/ENVO_00005772>	"orchard soil"	"Soil in which trees from an orchard grow."
<http://purl.obolibrary.org/obo/ENVO_00005768>	"orchid soil"	"Soil which has properties to which plants in the Family Orchidaceae have adapted, including increased levels of aeration and drainage."
<http://purl.obolibrary.org/obo/ENVO_00005782>	"ornithogenic soil"	"Soil which is formed from avian fecal matter."
<http://purl.obolibrary.org/obo/ENVO_00005740>	"paddy field soil"	"Soil which is part of a paddy field."
<http://purl.obolibrary.org/obo/ENVO_00003088>	"pantothenate enriched soil"	"A portion of pantothenate enriched soil is a portion of soil with elevated levels of pantothenate."
<http://purl.obolibrary.org/obo/ENVO_00005773>	"pasture soil"	"Soil which is found in a pasture and in which vegetation, such as the grass used for the grazing of ungulates, grows."
<http://purl.obolibrary.org/obo/ENVO_03600036>	"pathogen-suppressive soil"	"Soil which has properties that restrict a pathogen's ability to establish itself, persist, or cause disease that results in long-term harm."
<http://purl.obolibrary.org/obo/ENVO_00005774>	"peat soil"	"A histosol which is formed by the decomposition of vegetation or organic matter."
<http://purl.obolibrary.org/obo/ENVO_00005776>	"peaty paddy field soil"	"Paddy field soil which has increased levels of peat."
<http://purl.obolibrary.org/obo/ENVO_00002249>	"phaeozem"	"Phaeozems accommodate soils of relatively wet grassland and forest regions in moderately continental climates. Phaeozems are much like Chernozems and Kastanozems but are leached more intensively. Consequently, they have dark, humus rich surface horizons that, in comparison with Chernozems and Kastanozems, are less rich in bases. Phaeozems may or may not have secondary carbonates but have a high base saturation in the upper metre of the soil."
<http://purl.obolibrary.org/obo/ENVO_00002251>	"planosol"	"Planosols are soils with a light-coloured, surface horizon that shows signs of periodic water stagnation and abruptly overlies a dense, slowly permeable subsoil with significantly more clay than the surface horizon."
<http://purl.obolibrary.org/obo/ENVO_01001527>	"plastic-frozen soil"	"Frozen soil which is cemented by water ice but has viscous properties due to its high, unfrozen water content and therefore will compress and deform under load."
<http://purl.obolibrary.org/obo/ENVO_00002250>	"plinthosol"	"Plinthosols are soils with plinthite, petroplinthite or pisoliths. Plinthite is an Fe-rich (in some cases also Mn-rich), humus-poor mixture of kaolinitic clay (and other products of strong weathering such as gibbsite) with quartz and other constituents that changes irreversibly to a layer with hard nodules, a hardpan or irregular aggregates on exposure to repeated wetting and drying. Petroplinthite is a continuous, fractured or broken sheet of connected, strongly cemented to indurated nodules or mottles. Pisoliths are discrete strongly cemented to indurated nodules. Both petroplinthite and pisoliths develop from plinthite by hardening."
<http://purl.obolibrary.org/obo/ENVO_00002257>	"podzol"	"Podzols are soils with a typically ash-grey upper subsurface horizon, bleached by loss of organic matter and iron oxides, on top of a dark accumulation horizon with brown, reddish or black illuviated humus and/or reddish Fe compounds. Podzols occur in humid areas in the boreal and temperate zones and locally also in the tropics."
<http://purl.obolibrary.org/obo/ENVO_00003093>	"poly-beta-hydroxybutyrate enriched soil"	"A portion of poly-beta-hydroxybutyrate enriched soil is a portion of soil with elevated levels of poly-beta-hydroxybutyrate."
<http://purl.obolibrary.org/obo/ENVO_00005764>	"pond soil"	"Soil which is adjacent to a pond."
<http://purl.obolibrary.org/obo/ENVO_00003095>	"quinate enriched soil"	"A portion of quinate enriched soil is a portion of soil with elevated levels of quinate."
<http://purl.obolibrary.org/obo/ENVO_00005790>	"red soil"	"Soil which has 1) low concentrations of nutrients and humus, 2) low water retention capacity, 3) textural variation from sand to clay, 4) a porous and friable structure, and 5) low concentrations of soluble salts."
<http://purl.obolibrary.org/obo/ENVO_00002256>	"regosol"	"Regosols form a taxonomic remnant group containing all soils that could not be accommodated in any of the other RSGs. In practice, Regosols are very weakly developed mineral soils in unconsolidated materials that do not have a mollic or umbric horizon, are not very shallow or very rich in gravels (Leptosols), sandy (Arenosols) or with fluvic materials (Fluvisols). Regosols are extensive in eroding lands, particularly in arid and semi-arid areas and in mountainous terrain."
<http://purl.obolibrary.org/obo/ENVO_00005743>	"roadside soil"	"A portion of soil which is found in a roadside area."
<http://purl.obolibrary.org/obo/ENVO_00005788>	"rubber plantation soil"	
<http://purl.obolibrary.org/obo/ENVO_00003092>	"salicylate enriched soil"	"A portion of salicylate enriched soil is a portion of soil with elevated levels of salicylate."
<http://purl.obolibrary.org/obo/ENVO_00005775>	"salt contaminated soil"	"Soil which has elevated concentrations of sodium chloride."
<http://purl.obolibrary.org/obo/ENVO_06105276>	"sandy clay loam"	"Clay loam which has a high proportion of sand in its composition."
<http://purl.obolibrary.org/obo/ENVO_06105274>	"sandy loam"	"Loam which has a high proportion of sand in its composition."
<http://purl.obolibrary.org/obo/ENVO_00003083>	"sarcosine enriched soil"	"A portion of sarcosine enriched soil is a portion of soil with elevated levels of sarcosine."
<http://purl.obolibrary.org/obo/ENVO_00005746>	"savanna soil"	"A portion of soil which is found in a savanna."
<http://purl.obolibrary.org/obo/ENVO_00005752>	"sawah soil"	"Soil which is part of a sawah, a wet or irrigated rice field."
<http://purl.obolibrary.org/obo/ENVO_06105278>	"silty clay loam"	"Clay loam which has a high proportion of silt in its composition."
<http://purl.obolibrary.org/obo/ENVO_06105275>	"silty loam"	"Loam which has a high proportion of silt in its composition."
<http://purl.obolibrary.org/obo/ENVO_00003085>	"skatole enriched soil"	"A portion of skatole enriched soil is a portion of soil with elevated levels of skatole."
<http://purl.obolibrary.org/obo/ENVO_00001998>	"soil"	"An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms."
<http://purl.obolibrary.org/obo/ENVO_00002252>	"solonchak"	"Solonchaks are soils that have a high concentration of soluble salts at some time in the year. Solonchaks are largely confined to the arid and semi-arid climate zones and to coastal regions in all climates."
<http://purl.obolibrary.org/obo/ENVO_00002255>	"solonetz"	"Solonetz are soils with a dense, strongly structured, clayey subsurface horizon that has a high proportion of adsorbed Na and/or Mg ions. Solonetz that contain free soda (Na2CO3) are strongly alkaline (field pH > 8.5)."
<http://purl.obolibrary.org/obo/ENVO_00005784>	"spruce forest soil"	"Soil which is part of a forest whose communites of arborescent plants are dominated the genus Picea."
<http://purl.obolibrary.org/obo/ENVO_00002274>	"stagnosol"	"Stagnosols are soils with a perched water table showing redoximorphic features caused by surface water. Stagnosols are periodically wet and mottled in the topsoil and subsoil, with or without concretions and/or bleaching."
<http://purl.obolibrary.org/obo/ENVO_00005777>	"steppe soil"	"A portion of soil which is found in a steppe."
<http://purl.obolibrary.org/obo/ENVO_02000059>	"surface soil"	"A soil consisting of the upper layer of soil on the surface consisting of loose material capable of supporting life composed of a mixture of mineral and organic matter."
<http://purl.obolibrary.org/obo/ENVO_00002275>	"technosol"	"Technosols are soils whose properties and pedogenesis are dominated by their technical origin. They contain a significant amount of artefacts (something in the soil recognizably made or extracted from the earth by humans), or are sealed by technic hard rock (material created by humans, having properties unlike natural rock). They include soils from wastes (landfills, sludge, cinders, mine spoils and ashes), pavements with their underlying unconsolidated materials, soils with geomembranes and constructed soils in human-made materials."
<http://purl.obolibrary.org/obo/ENVO_00003089>	"testosterone enriched soil"	"A portion of testosterone enriched soil is a portion of soil with elevated levels of testosterone."
<http://purl.obolibrary.org/obo/ENVO_00003091>	"threonine enriched soil"	"A portion of threonine enriched soil is a portion of soil with elevated levels of threonine."
<http://purl.obolibrary.org/obo/ENVO_00003084>	"trimethylamine enriched soil"	"A portion of trimethylamine enriched soil is a portion of soil with elevated levels of trimethylamine."
<http://purl.obolibrary.org/obo/ENVO_00005778>	"tropical soil"	"Soil which is part of a tropical environment."
<http://purl.obolibrary.org/obo/ENVO_01001397>	"ultisol"	"A soil which has high mineral content and which contain no calcareous material, have less than 10% weatherable minerals its surface layer, and have less than 35% base saturation throughout its volume."
<http://purl.obolibrary.org/obo/ENVO_00002253>	"umbrisol"	"Umbrisols are soils in which organic matter has accumulated within the mineral surface soil (in most cases with low base saturation) to the extent that it significantly affects the behaviour and utilization of the soil."
<http://purl.obolibrary.org/obo/ENVO_00005786>	"upland soil"	"Soil which is part of some elevated land."
<http://purl.obolibrary.org/obo/ENVO_00005753>	"urea enriched soil"	"A portion of urea enriched soil is a portion of soil with elevated levels of urea."
<http://purl.obolibrary.org/obo/ENVO_00005779>	"vegetable garden soil"	"Garden soil which is part of a garden used for the cultivation of vegetables."
<http://purl.obolibrary.org/obo/ENVO_00002254>	"vertisol"	"A soil in which there is a high content of expansive clay known as montmorillonite that forms deep cracks in drier seasons or years. Alternate shrinking and swelling causes self-mulching, where the soil material consistently mixes itself, causing vertisols to have an extremely deep A horizon and no B horizon."
<http://purl.obolibrary.org/obo/ENVO_01001841>	"volcanic soil"	"An andosol which derives its silica content from glass and tephra ejected during a volcanic eruption."
<http://purl.obolibrary.org/obo/ENVO_00002146>	"xylene contaminated soil"	"Soil which has elevated concentrations of xylene."
